Strain ID;Systematic gene name;Allele/Gene name;Single mutant fitness (26°);Single mutant fitness (26°) stddev;Single mutant fitness (30°);Single mutant fitness (30°) stddev;;;;;
YBL002W_sn1756;YBL002W;htb2;1,001;0,0171;1,001;0,0171;;;;;
YBL003C_dma93;YBL003C;hta2;1,0115;0,0452;1,0115;0,0452;;;;;
YBL003C_sn1755;YBL003C;hta2;1,0115;0,0452;1,0115;0,0452;;;;;
YBL004W_damp184;YBL004W;utp20_damp;0,986;0,004;0,986;0,004;;;;;
YBL005W_dma92;YBL005W;pdr3;1,0365;0,0574;1,0365;0,0574;;;;;
YBL005W_sn1998;YBL005W;pdr3;1,0365;0,0574;1,0365;0,0574;;;;;
YBL006C_sn699;YBL006C;ldb7;0,793;0,0516;0,793;0,0516;;;;;
YBL007C_dma91;YBL007C;sla1;0,8322;0,0832;0,8322;0,0832;;;;;
YBL007C_sn761;YBL007C;sla1;0,8322;0,0832;0,8322;0,0832;;;;;
YBL008W_dma90;YBL008W;hir1;0,9477;0,1362;0,9477;0,1362;;;;;
YBL008W_sn1601;YBL008W;hir1;0,9477;0,1362;0,9477;0,1362;;;;;
YBL008W-A_sn4633;YBL008W-A;ybl008w-a;0,989;0,1078;0,989;0,1078;;;;;
YBL009W_dma89;YBL009W;alk2;1,015;0,047;1,015;0,047;;;;;
YBL009W_sn1371;YBL009W;alk2;1,015;0,047;1,015;0,047;;;;;
YBL010C_dma88;YBL010C;ybl010c;0,987;0,0475;0,987;0,0475;;;;;
YBL010C_sn39;YBL010C;ybl010c;0,987;0,0475;0,987;0,0475;;;;;
YBL011W_dma87;YBL011W;sct1;0,9173;0,1312;0,9173;0,1312;;;;;
YBL011W_sn894;YBL011W;sct1;0,9173;0,1312;0,9173;0,1312;;;;;
YBL013W_dma86;YBL013W;fmt1;0,974;0,049;0,974;0,049;;;;;
YBL013W_sn4215;YBL013W;fmt1;0,974;0,049;0,974;0,049;;;;;
YBL014C_damp185;YBL014C;rrn6_damp;1,008;0,0285;1,008;0,0285;;;;;
YBL015W_dma85;YBL015W;ach1;0,9855;0,0592;0,9855;0,0592;;;;;
YBL015W_sn545;YBL015W;ach1;0,9855;0,0592;0,9855;0,0592;;;;;
YBL017C_dma119;YBL017C;pep1;0,9715;0,0354;0,9715;0,0354;;;;;
YBL018C_damp186;YBL018C;pop8_damp;0,755;0,0857;0,755;0,0857;;;;;
YBL019W_dma118;YBL019W;apn2;1,039;0,0435;1,039;0,0435;;;;;
