gene_name	number_of_transposon_per_gene	number_of_read_pergene
WHI4 	16 	727 	
HBT1 	58 	3411 	
FMP45 	7 	193 	
YDL221W 	37 	6140 	
CDC13 	38 	4793 	
DTD1 	1 	0 	
YDL218W 	19 	646 	
TIM22 	0 	0 	
RRI1 	22 	767 	
GDH2 	44 	3227 	
PRR2 	37 	2291 	
NOP6 	14 	421 	
SHR3 	3 	7 	
YDL211C 	41 	1931 	
UGA4 	41 	1175 	
CWC2 	0 	0 	
NHP2 	4 	27 	
GLE1 	8 	459 	
YDL206W 	32 	1147 	
HEM3 	0 	0 	
RTN2 	19 	480 	
ACK1 	25 	996 	
MRPL11 	11 	237 	
TRM8 	17 	674 	
MGT1 	12 	311 	
YDL199C 	21 	978 	
GGC1 	23 	516 	
ASF2 	45 	1585 	
YDL196W 	18 	1544 	
SEC31 	2 	1 	
SNF3 	20 	719 	
NUS1 	0 	0 	
ARF1 	11 	462 	
RPL35A 	6 	12 	
UFD2 	26 	530 	
RBS1 	11 	709 	
PPH22 	21 	881 	
YDL187C 	6 	23 	
YDL186W 	11 	254 	
YDL185C-A 	2 	7 	
VMA1 	1 	0 	
RPL41A 	0 	0 	
YDL183C 	29 	2114 	
LYS20 	22 	1301 	
INH1 	6 	68 	
YDL180W 	15 	496 	
PCL9 	6 	54 	
DLD2 	55 	1445 	
YDL177C 	11 	301 	
YDL176W 	30 	1050 	
AIR2 	27 	808 	
DLD1 	43 	2803 	
PAR32 	24 	696 	
YDL172C 	10 	139 	
GLT1 	90 	3989 	
UGA3 	29 	878 	
UGX2 	14 	734 	
SFA1 	18 	1409 	
NRP1 	32 	1482 	
FAP7 	2 	19 	
CDC36 	2 	1 	
CDC9 	12 	423 	
YDL163W 	10 	365 	
YDL162C 	22 	3856 	
ENT1 	14 	414 	
MHF2 	2 	3 	
DHH1 	9 	323 	
YDL159W-A 	7 	155 	
STE7 	28 	1734 	
YDL159C-B 	1 	0 	
YDL158C 	6 	248 	
YDL157C 	2 	1 	
CMR1 	47 	2414 	
CLB3 	15 	568 	
MSH5 	46 	2258 	
SAS10 	2 	3 	
YDL152W 	12 	1178 	
BUD30 	2 	10 	
RPC53 	2 	10 	
ATG9 	15 	476 	
NOP14 	10 	345 	
RPN5 	3 	27 	
LDB17 	13 	169 	
COP1 	8 	128 	
YDL144C 	33 	2247 	
CCT4 	0 	0 	
CRD1 	32 	2436 	
BPL1 	4 	109 	
RPO21 	4 	31 	
SCM3 	1 	0 	
RGT2 	50 	3739 	
ARF2 	16 	585 	
RPL35B 	5 	53 	
RDI1 	16 	846 	
PPH21 	19 	1309 	
RPL41B 	0 	0 	
SRF1 	17 	1093 	
CDC53 	5 	23 	
LYS21 	19 	789 	
STF1 	6 	74 	
RPP1B 	10 	426 	
YDL129W 	14 	265 	
VCX1 	22 	979 	
PCL2 	45 	2256 	
CDC48 	5 	18 	
HNT1 	16 	576 	
YDL124W 	23 	846 	
SNA4 	19 	1016 	
UBP1 	34 	1430 	
YDL121C 	12 	971 	
YFH1 	0 	0 	
YDL119C 	17 	883 	
YDL118W 	4 	190 	
CYK3 	42 	966 	
NUP84 	10 	162 	
IWR1 	15 	304 	
YDL114W-A 	0 	0 	
YDL114W 	22 	625 	
ATG20 	29 	1779 	
TRM3 	67 	3533 	
RRP42 	1 	0 	
TMA17 	9 	254 	
YDL109C 	62 	3079 	
KIN28 	2 	3 	
MSS2 	27 	1166 	
PHO2 	31 	1586 	
NSE4 	1 	0 	
QRI7 	24 	843 	
QRI1 	1 	0 	
POL3 	6 	106 	
DUN1 	21 	368 	
GET3 	15 	568 	
BUG1 	25 	1790 	
SNU23 	4 	18 	
RPN6 	1 	0 	
OPI6 	13 	942 	
PMT1 	43 	3252 	
YDL094C 	21 	1526 	
PMT5 	60 	3837 	
SRP14 	6 	1141 	
UBX3 	23 	1069 	
RAM1 	2 	10 	
NUR1 	35 	988 	
ASM4 	23 	1074 	
LUC7 	9 	34 	
YDL086W 	45 	2726 	
YDL086C-A 	29 	1288 	
YDL085C-A 	10 	412 	
NDE2 	38 	2033 	
SUB2 	1 	0 	
RPS16B 	13 	346 	
RPL13A 	15 	405 	
RPP1A 	7 	68 	
THI3 	37 	1668 	
MRK1 	46 	2570 	
MDH3 	13 	358 	
VAM6 	23 	149 	
RXT3 	17 	262 	
RPL31A 	1 	0 	
BRE1 	18 	480 	
YDL073W 	44 	1536 	
YET3 	17 	683 	
