gene_name	number_of_transposon_per_gene	number_of_read_pergene
RPS0B 	2 	7 	
YLR049C 	18 	164 	
YLR050C 	11 	558 	
FCF2 	6 	633 	
IES3 	4 	7 	
YLR053C 	5 	12 	
OSW2 	52 	4132 	
SPT8 	54 	1879 	
ERG3 	12 	182 	
MNL2 	49 	1923 	
SHM2 	11 	302 	
REX2 	39 	3811 	
FRS1 	2 	1 	
RPL22A 	5 	48 	
BUD28 	4 	47 	
BMT6 	9 	280 	
PER33 	8 	570 	
ENV10 	4 	6 	
SPC3 	0 	0 	
PET309 	34 	975 	
FYV7 	8 	184 	
MEF1 	29 	1319 	
XYL2 	35 	3781 	
RGR1 	11 	322 	
YLR072W 	31 	998 	
RFU1 	18 	428 	
BUD20 	11 	271 	
RPL10 	0 	0 	
YLR076C 	0 	0 	
FMP25 	49 	3660 	
BOS1 	10 	290 	
SIC1 	8 	24 	
EMP46 	50 	2493 	
GAL2 	8 	370 	
SRL2 	33 	1968 	
EMP70 	21 	380 	
RAX2 	79 	4692 	
ARP6 	15 	387 	
SMC4 	1 	0 	
CSF1 	79 	1963 	
GAA1 	1 	0 	
ALT1 	13 	199 	
XDJ1 	39 	2469 	
GEP5 	48 	1225 	
SUL2 	55 	3098 	
NYV1 	20 	240 	
GIS3 	47 	2347 	
IOC2 	35 	1867 	
KIN2 	36 	675 	
HRT3 	20 	917 	
CHA4 	43 	1085 	
ICT1 	25 	1442 	
MIM2 	8 	59 	
ERG27 	0 	0 	
YLR101C 	1 	0 	
APC9 	7 	169 	
CDC45 	1 	0 	
LCL2 	6 	209 	
SEN2 	3 	5 	
MDN1 	4 	13 	
REX3 	24 	1316 	
YLR108C 	25 	991 	
AHP1 	10 	821 	
CCW12 	1 	0 	
YLR111W 	6 	378 	
YLR112W 	22 	1177 	
HOG1 	31 	1719 	
AVL9 	26 	730 	
CFT2 	0 	0 	
MSL5 	12 	255 	
CLF1 	10 	271 	
YLR118C 	14 	438 	
SRN2 	23 	762 	
YPS1 	37 	1296 	
YLR120W-A 	6 	243 	
YPS3 	54 	1426 	
YLR122C 	14 	679 	
YLR123C 	10 	293 	
YLR124W 	13 	103 	
YLR125W 	5 	158 	
YLR126C 	11 	369 	
APC2 	13 	215 	
DCN1 	18 	1020 	
DIP2 	2 	42 	
ZRT2 	55 	4892 	
ACE2 	102 	11908 	
USB1 	0 	0 	
CKI1 	21 	255 	
PDC5 	26 	787 	
SLX4 	47 	2198 	
TIS11 	12 	378 	
RKM5 	75 	6134 	
NHA1 	36 	1100 	
SLS1 	20 	663 	
YLR140W 	14 	113 	
RRN5 	3 	11 	
PUT1 	33 	1385 	
DPH6 	29 	721 	
ACF2 	33 	1114 	
RMP1 	2 	1 	
SPE4 	11 	121 	
YLR146W-A 	5 	5 	
SMD3 	0 	0 	
PEP3 	14 	522 	
YLR149C 	19 	612 	
YLR149C-A 	0 	0 	
STM1 	11 	146 	
PCD1 	20 	487 	
YLR152C 	31 	2310 	
ACS2 	3 	9 	
RNH203 	9 	259 	
YLR154W-A 	0 	0 	
YLR154W-B 	0 	0 	
TAR1 	0 	0 	
YLR154W-E 	0 	0 	
YLR154W-F 	0 	0 	
YLR154C-G 	0 	0 	
YLR154C-H 	0 	0 	
ASP3-1 	0 	0 	
YLR156W 	0 	0 	
YLR156C-A 	0 	0 	
ASP3-2 	0 	0 	
YLR157W-D 	0 	0 	
YLR157W-E 	0 	0 	
YLR157C-C 	0 	0 	
ASP3-3 	0 	0 	
YLR159W 	0 	0 	
YLR159C-A 	0 	0 	
ASP3-4 	0 	0 	
YLR161W 	0 	0 	
YLR162W 	22 	2535 	
RRT15 	19 	403 	
MAS1 	1 	0 	
YLR163W-A 	0 	0 	
SHH4 	7 	200 	
PUS5 	9 	80 	
SEC10 	2 	1 	
RPS31 	3 	7 	
UPS2 	14 	315 	
YLR169W 	30 	1320 	
APS1 	19 	695 	
YLR171W 	8 	114 	
DPH5 	20 	1632 	
YLR173W 	41 	1821 	
IDP2 	26 	1005 	
CBF5 	6 	117 	
RFX1 	28 	1683 	
YLR177W 	20 	624 	
TFS1 	28 	1121 	
YLR179C 	28 	1428 	
SAM1 	23 	1844 	
VTA1 	9 	592 	
SWI6 	8 	105 	
TOS4 	26 	1527 	
YLR184W 	13 	173 	
RPL37A 	6 	246 	
EMG1 	0 	0 	
SKG3 	42 	1825 	
MDL1 	62 	3982 	
ATG26 	33 	2951 	
MMR1 	42 	2637 	
PEX13 	13 	286 	
HCR1 	5 	32 	
UPS1 	9 	180 	
YLR194C 	13 	506 	
NMT1 	1 	0 	
PWP1 	8 	253 	
NOP56 	4 	84 	
YLR198C 	4 	84 	
PBA1 	16 	777 	
YKE2 	0 	0 	
COQ9 	7 	180 	
YLR202C 	18 	941 	
MSS51 	9 	946 	
QRI5 	4 	58 	
HMX1 	23 	1652 	
ENT2 	14 	178 	
HRD3 	24 	1333 	
SEC13 	1 	0 	
PNP1 	7 	147 	
CLB4 	16 	485 	
ATG38 	5 	129 	
TUB4 	4 	9 	
CRR1 	23 	630 	
FRE1 	16 	586 	
CDC123 	3 	3 	
CPR6 	11 	304 	
YLR217W 	7 	236 	
COA4 	23 	1641 	
MSC3 	26 	834 	
CCC1 	13 	503 	
RSA3 	7 	128 	
UTP13 	0 	0 	
YLR222C-A 	1 	0 	
IFH1 	24 	1412 	
YLR224W 	25 	531 	
YLR225C 	11 	334 	
BUR2 	5 	13 	
ADY4 	16 	272 	
ECM22 	33 	978 	
CDC42 	0 	0 	
YLR230W 	4 	15 	
BNA5 	23 	1844 	
YLR232W 	8 	1055 	
EST1 	23 	743 	
TOP3 	2 	21 	
YLR235C 	18 	1592 	
YLR236C 	38 	3077 	
THI7 	36 	2991 	
FAR10 	20 	497 	
LIP2 	17 	389 	
VPS34 	1 	0 	
YLR241W 	16 	603 	
ARV1 	9 	163 	
GPN3 	0 	0 	
MAP1 	5 	35 	
CDD1 	10 	306 	
ERF2 	20 	760 	
IRC20 	40 	2431 	
RCK2 	15 	397 	
YEF3 	6 	87 	
SSP120 	8 	301 	
SYM1 	5 	87 	
YLR252W 	3 	12 	
MCP2 	27 	2021 	
NDL1 	15 	281 	
YLR255C 	29 	602 	
HAP1 	76 	6134 	
YLR257W 	13 	212 	
GSY2 	31 	2196 	
HSP60 	2 	1 	
LCB5 	36 	1787 	
VPS63 	0 	0 	
YPT6 	1 	0 	
TMA7 	4 	169 	
RED1 	32 	1138 	
RPS28B 	2 	20 	
YLR264C-A 	0 	0 	
NEJ1 	6 	199 	
PDR8 	37 	722 	
BOP2 	30 	798 	
SEC22 	1 	0 	
YLR269C 	20 	1082 	
DCS1 	10 	62 	
YLR271W 	14 	550 	
YCS4 	1 	0 	
PIG1 	14 	382 	
MCM5 	1 	0 	
SMD2 	0 	0 	
DBP9 	0 	0 	
YSH1 	0 	0 	
YLR278C 	35 	1174 	
YLR279W 	30 	635 	
YLR280C 	19 	1541 	
YLR281C 	20 	1633 	
YLR282C 	5 	60 	
YLR283W 	8 	56 	
ECI1 	7 	39 	
NNT1 	10 	124 	
YLR285C-A 	3 	72 	
CTS1 	12 	279 	
YLR286W-A 	1 	0 	
YLR287C 	11 	320 	
RPS30A 	4 	5 	
MEC3 	25 	1413 	
GUF1 	19 	571 	
YLR290C 	15 	351 	
GCD7 	3 	78 	
SEC72 	11 	703 	
GSP1 	0 	0 	
YLR294C 	12 	277 	
ATP14 	5 	16 	
YLR296W 	17 	706 	
YLR297W 	7 	135 	
YHC1 	8 	161 	
ECM38 	58 	4120 	
YLR299C-A 	5 	518 	
EXG1 	23 	1085 	
HRI1 	14 	624 	
YLR302C 	1 	0 	
MET17 	0 	0 	
ACO1 	4 	17 	
STT4 	7 	14 	
UBC12 	11 	149 	
CDA1 	12 	372 	
YLR307C-A 	3 	73 	
CDA2 	24 	1155 	
IMH1 	33 	856 	
CDC25 	7 	36 	
YLR311C 	11 	331 	
YLR312C 	20 	744 	
MRPL15 	16 	289 	
SPH1 	18 	509 	
CDC3 	0 	0 	
NKP2 	13 	322 	
TAD3 	2 	74 	
YLR317W 	1 	0 	
EST2 	34 	1011 	
BUD6 	24 	1395 	
MMS22 	9 	61 	
SFH1 	6 	263 	
VPS65 	7 	97 	
CWC24 	5 	323 	
PEX30 	18 	678 	
RPL38 	2 	3 	
YLR326W 	10 	257 	
TMA10 	6 	35 	
NMA1 	21 	835 	
REC102 	3 	97 	
CHS5 	15 	687 	
JIP3 	1 	0 	
MID2 	4 	5 	
RPS25B 	10 	261 	
YLR334C 	11 	45 	
NUP2 	11 	289 	
SGD1 	6 	299 	
VRP1 	10 	183 	
OPI9 	4 	120 	
YLR339C 	0 	0 	
RPP0 	0 	0 	
SPO77 	17 	605 	
FKS1 	37 	1053 	
YLR342W-A 	3 	2 	
GAS2 	27 	469 	
RPL26A 	7 	46 	
YLR345W 	23 	1668 	
YLR346C 	6 	156 	
KAP95 	0 	0 	
YLR347W-A 	0 	0 	
DIC1 	40 	2493 	
YLR349W 	21 	1264 	
ORM2 	4 	110 	
NIT3 	11 	158 	
YLR352W 	13 	222 	
BUD8 	38 	1868 	
TAL1 	14 	459 	
ILV5 	0 	0 	
ATG33 	13 	171 	
RSC2 	27 	592 	
YLR358C 	12 	555 	
ADE13 	1 	0 	
VPS38 	20 	172 	
DCR2 	27 	1161 	
YLR361C-A 	1 	0 	
STE11 	32 	1661 	
NMD4 	6 	34 	
YLR363W-A 	0 	0 	
GRX8 	5 	69 	
YLR365W 	13 	594 	
YLR364C-A 	5 	51 	
YLR366W 	21 	271 	
RPS22B 	19 	515 	
MDM30 	29 	520 	
SSQ1 	9 	59 	
ARC18 	0 	0 	
ROM2 	20 	626 	
ELO3 	0 	0 	
VID22 	25 	1033 	
YLR374C 	22 	2122 	
STP3 	15 	463 	
PSY3 	12 	252 	
FBP1 	44 	2558 	
SEC61 	1 	0 	
YLR379W 	3 	30 	
CSR1 	32 	1496 	
CTF3 	10 	446 	
NAM2 	14 	146 	
SMC6 	1 	0 	
IKI3 	24 	901 	
SWC7 	10 	693 	
VAC14 	19 	502 	
REH1 	12 	239 	
RPS29A 	11 	193 	
STE23 	47 	1705 	
ECM19 	12 	389 	
CCW14 	3 	15 	
ART10 	17 	306 	
ATP10 	8 	165 	
CST9 	9 	265 	
COX8 	1 	0 	
VPS33 	1 	0 	
AFG2 	0 	0 	
SKI2 	33 	910 	
BDF1 	5 	22 	
YLR399W-A 	0 	0 	
YLR400W 	25 	511 	
DUS3 	45 	3019 	
YLR402W 	12 	111 	
SFP1 	15 	437 	
FLD1 	9 	399 	
DUS4 	14 	1022 	
RPL31B 	9 	172 	
YLR406C-A 	5 	12 	
YLR407W 	11 	73 	
BLS1 	4 	42 	
UTP21 	3 	3 	
VIP1 	52 	2079 	
CTR3 	19 	423 	
BER1 	4 	35 	
YLR412C-A 	2 	1 	
INA1 	8 	540 	
PUN1 	30 	1245 	
YLR415C 	27 	2441 	
YLR416C 	20 	1744 	
VPS36 	9 	296 	
CDC73 	7 	330 	
YLR419W 	30 	753 	
URA4 	15 	257 	
RPN13 	4 	109 	
YLR422W 	44 	1746 	
ATG17 	10 	226 	
SPP382 	11 	446 	
TUS1 	9 	79 	
TDA5 	0 	0 	
MAG2 	32 	1696 	
YLR428C 	12 	583 	
CRN1 	27 	1347 	
SEN1 	13 	468 	
ATG23 	20 	465 	
IMD3 	27 	725 	
CNA1 	22 	1404 	
YLR434C 	7 	341 	
TSR2 	4 	9 	
ECM30 	62 	3250 	
DIF1 	28 	888 	
YLR437C-A 	23 	1106 	
CAR2 	78 	5471 	
LSM3 	0 	0 	
MRPL4 	15 	899 	
SEC39 	7 	58 	
RPS1A 	5 	14 	
SIR3 	20 	734 	
ECM7 	14 	1076 	
YLR444C 	6 	259 	
GMC2 	7 	85 	
YLR446W 	17 	990 	
VMA6 	0 	0 	
RPL6B 	12 	450 	
FPR4 	15 	438 	
HMG2 	35 	1135 	
LEU3 	25 	829 	
SST2 	26 	880 	
RIF2 	18 	173 	
FMP27 	37 	1343 	
YLR455W 	8 	319 	
YLR456W 	16 	326 	
NBP1 	3 	14 	
YLR458W 	0 	0 	
GAB1 	0 	0 	
YLR460C 	23 	596 	
PAU4 	1 	0 	
YLR462W 	1 	0 	
YLR463C 	1 	0 	
YLR464W 	7 	54 	
BSC3 	7 	54 	
YRF1-4 	7 	54 	
YLR466C-A 	0 	0 	
YLR466C-B 	4 	585 	
YRF1-5 	0 	0 	
YLR467C-A 	0 	0 	
YML133C 	3 	42 	
YML133W-B 	0 	0 	
YML133W-A 	0 	0 	
COS3 	1 	0 	
YML131W 	20 	1657 	
ERO1 	2 	3 	
COX14 	4 	26 	
MSC1 	33 	919 	
RSC9 	8 	273 	
ERG13 	2 	6 	
PGA3 	3 	4 	
TUB3 	28 	1626 	
PHO84 	24 	1298 	
YML122C 	31 	2854 	
GTR1 	21 	564 	
NDI1 	34 	1338 	
YML119W 	15 	301 	
NGL3 	40 	2656 	
NAB6 	60 	3872 	
YML116W-A 	18 	2277 	
ATR1 	31 	1727 	
VAN1 	25 	761 	
TAF8 	15 	1062 	
DAT1 	18 	1357 	
CTK3 	0 	0 	
BUL2 	35 	1106 	
COQ5 	18 	403 	
ZDS2 	55 	4670 	
YML108W 	5 	89 	
PML39 	22 	1189 	
URA5 	11 	226 	
SEC65 	0 	0 	
MDM1 	52 	1731 	
NUP188 	36 	967 	
CAC2 	39 	2475 	
YML101C-A 	16 	662 	
CUE4 	35 	4055 	
YML100W-A 	16 	855 	
TSL1 	69 	4332 	
YML099W-A 	10 	340 	
ARG81 	48 	2421 	
TAF13 	0 	0 	
VPS9 	25 	850 	
YML096W 	23 	566 	
RAD10 	7 	100 	
YML094C-A 	11 	806 	
GIM5 	12 	1079 	
UTP14 	11 	548 	
PRE8 	0 	0 	
RPM2 	26 	857 	
YML090W 	16 	889 	
YML089C 	29 	2966 	
UFO1 	36 	861 	
AIM33 	22 	876 	
ALO1 	55 	2500 	
TUB1 	0 	0 	
YML084W 	15 	624 	
YML083C 	39 	2821 	
YML082W 	73 	7375 	
ATP18 	5 	156 	
TDA9 	50 	2194 	
DUS1 	20 	525 	
YML079W 	22 	759 	
CPR3 	14 	690 	
BET5 	2 	4 	
WAR1 	78 	5120 	
HMG1 	64 	3178 	
FPR3 	6 	40 	
RPL6A 	15 	213 	
TCB3 	108 	5999 	
COG8 	24 	737 	
DAK1 	40 	1751 	
POB3 	1 	0 	
ITT1 	21 	249 	
ERV41 	35 	1107 	
SMA2 	18 	1891 	
ORC1 	7 	46 	
TEM1 	5 	23 	
RPS1B 	10 	170 	
MFT1 	30 	2012 	
PIF1 	69 	2861 	
OGG1 	29 	1441 	
NTE1 	88 	3661 	
HUG1 	9 	331 	
SML1 	9 	620 	
YML057C-A 	17 	638 	
CMP2 	52 	2275 	
IMD4 	41 	1771 	
SPC2 	13 	222 	
CYB2 	70 	5493 	
YML054C-A 	16 	1178 	
YML053C 	20 	1245 	
SUR7 	34 	2594 	
GAL80 	53 	2256 	
AIM32 	23 	1648 	
RSE1 	12 	572 	
GSF2 	6 	117 	
YML047W-A 	3 	4 	
PRM6 	27 	1088 	
PRP39 	5 	192 	
RRN11 	8 	262 	
CAT2 	72 	3795 	
VPS71 	47 	2372 	
YMD8 	28 	948 	
YML037C 	27 	765 	
CGI121 	29 	452 	
AMD1 	73 	3614 	
YML034C-A 	24 	1818 	
SRC1 	72 	5506 	
RAD52 	19 	567 	
YML031C-A 	2 	1 	
NDC1 	7 	168 	
RCF1 	17 	744 	
USA1 	100 	6558 	
TSA1 	15 	490 	
YOX1 	77 	6366 	
RPS18B 	24 	1191 	
YML6 	35 	1024 	
RPS17A 	11 	245 	
NSE5 	3 	4 	
APT1 	24 	969 	
UNG1 	67 	7928 	
YML020W 	82 	5977 	
OST6 	41 	3321 	
YML018C 	47 	3264 	
PSP2 	89 	3017 	
PPZ1 	91 	4743 	
TAF11 	2 	3 	
TRM9 	36 	4059 	
UBX2 	36 	1908 	
YML012C-A 	12 	83 	
ERV25 	33 	2108 	
RAD33 	23 	1490 	
SPT5 	58 	4104 	
YML009W-B 	39 	3379 	
YML009C-A 	18 	1678 	
MRPL39 	20 	2510 	
ERG6 	25 	806 	
YML007C-A 	9 	1317 	
YAP1 	97 	6809 	
GIS4 	109 	5634 	
TRM12 	133 	13713 	
GLO1 	103 	15819 	
YML003W 	67 	9722 	
YML002W 	187 	14891 	
YPT7 	30 	892 	
CDC5 	5 	262 	
YMR001C-A 	18 	1420 	
MIX17 	30 	6143 	
AIM34 	38 	3698 	
MVP1 	77 	8920 	
TAF4 	20 	458 	
PLB2 	115 	5058 	
YMR007W 	36 	2694 	
PLB1 	58 	3243 	
ADI1 	30 	1405 	
YMR010W 	64 	4168 	
HXT2 	93 	8786 	
CLU1 	125 	5688 	
SEC59 	4 	59 	
YMR013C-A 	0 	0 	
YMR013W-A 	6 	64 	
BUD22 	55 	1550 	
ERG5 	73 	4319 	
SOK2 	62 	2725 	
SPO20 	63 	3595 	
YMR018W 	58 	3723 	
STB4 	84 	5297 	
FMS1 	51 	2998 	
MAC1 	45 	1535 	
UBC7 	25 	2184 	
MSS1 	63 	2728 	
MRPL3 	13 	418 	
CSI1 	26 	375 	
PEX12 	29 	813 	
YMR027W 	50 	2036 	
TAP42 	1 	0 	
FAR8 	28 	964 	
RSF1 	36 	2528 	
EIS1 	62 	1878 	
YMR031W-A 	17 	1178 	
HOF1 	47 	2346 	
YMR030W-A 	19 	214 	
ARP9 	2 	1 	
YMR034C 	38 	2993 	
IMP2 	23 	555 	
MIH1 	26 	1004 	
MSN2 	54 	4816 	
CCS1 	34 	863 	
SUB1 	24 	1324 	
YET2 	27 	2011 	
ARA2 	17 	985 	
ARG80 	42 	12306 	
MCM1 	9 	318 	
IOC4 	39 	2433 	
YMR046W-A 	0 	0 	
NUP116 	31 	690 	
CSM3 	15 	553 	
ERB1 	2 	1 	
FAR3 	17 	491 	
YMR052C-A 	10 	155 	
STB2 	43 	2323 	
STV1 	61 	3751 	
BUB2 	47 	4712 	
AAC1 	41 	2110 	
YMR057C 	34 	2119 	
FET3 	43 	2785 	
SEN15 	1 	0 	
SAM37 	20 	346 	
RNA14 	1 	0 	
ARG7 	39 	1717 	
RIM9 	23 	1697 	
AEP1 	23 	1351 	
KAR5 	40 	1552 	
SOV1 	34 	721 	
UBX4 	26 	667 	
AVO2 	18 	619 	
NAT4 	51 	8486 	
MOT3 	25 	955 	
TVP18 	11 	524 	
ABF2 	6 	31 	
IRC21 	9 	276 	
YMR074C 	13 	404 	
RCO1 	52 	1834 	
YMR075C-A 	18 	322 	
PDS5 	6 	103 	
VPS20 	7 	75 	
CTF18 	12 	138 	
SEC14 	0 	0 	
NAM7 	29 	973 	
ISF1 	18 	631 	
YMR082C 	17 	113 	
ADH3 	18 	1074 	
YMR084W 	12 	1161 	
YMR085W 	15 	619 	
SEG1 	48 	1813 	
YMR086C-A 	15 	416 	
YMR087W 	24 	1468 	
VBA1 	25 	614 	
YTA12 	34 	812 	
YMR090W 	12 	176 	
NPL6 	19 	469 	
AIP1 	27 	1607 	
UTP15 	1 	0 	
CTF13 	1 	0 	
SNO1 	24 	870 	
SNZ1 	13 	335 	
MTG1 	17 	385 	
ATP25 	39 	1209 	
YMR099C 	6 	123 	
MUB1 	13 	351 	
SRT1 	26 	1567 	
YMR102C 	29 	799 	
YMR103C 	36 	2431 	
YPK2 	39 	2169 	
PGM2 	3 	13 	
YMR105W-A 	15 	747 	
YKU80 	59 	3521 	
SPG4 	8 	349 	
ILV2 	2 	1 	
MYO5 	50 	1641 	
HFD1 	28 	1574 	
YMR111C 	36 	2843 	
MED11 	2 	9 	
FOL3 	3 	55 	
YMR114C 	23 	1490 	
MGR3 	13 	383 	
ASC1 	10 	134 	
SPC24 	2 	1 	
SHH3 	16 	282 	
ASI1 	26 	1023 	
YMR119W-A 	9 	122 	
ADE17 	22 	924 	
RPL15B 	14 	1042 	
YMR122C 	40 	4172 	
YMR122W-A 	3 	47 	
PKR1 	4 	20 	
EPO1 	25 	1370 	
STO1 	12 	232 	
DLT1 	10 	382 	
SAS2 	17 	812 	
ECM16 	4 	3 	
POM152 	45 	1206 	
YMR130W 	19 	541 	
RRB1 	0 	0 	
JLP2 	5 	215 	
REC114 	11 	272 	
ERG29 	8 	266 	
GID8 	26 	329 	
YMR135W-A 	30 	2574 	
GAT2 	26 	1619 	
PSO2 	25 	735 	
CIN4 	4 	17 	
RIM11 	13 	691 	
SIP5 	13 	662 	
YMR141C 	3 	2 	
RPL13B 	6 	11 	
YMR141W-A 	1 	0 	
RPS16A 	11 	154 	
YMR144W 	22 	1093 	
NDE1 	31 	1560 	
TIF34 	1 	0 	
YMR147W 	12 	158 	
OSW5 	17 	540 	
SWP1 	4 	8 	
IMP1 	21 	1048 	
YIM2 	13 	199 	
YIM1 	23 	1003 	
NUP53 	20 	1069 	
YMR153C-A 	4 	25 	
RIM13 	33 	851 	
YMR155W 	25 	1484 	
TPP1 	10 	341 	
AIM36 	12 	439 	
MRPS8 	11 	231 	
YMR158C-A 	3 	4 	
YMR158W-B 	11 	693 	
ATG16 	17 	2107 	
YMR160W 	42 	2716 	
HLJ1 	17 	175 	
DNF3 	69 	2190 	
INP2 	21 	672 	
MSS11 	16 	636 	
PAH1 	23 	916 	
YMR166C 	13 	579 	
MLH1 	20 	470 	
CEP3 	0 	0 	
ALD3 	21 	476 	
ALD2 	18 	927 	
EAR1 	19 	518 	
HOT1 	42 	1115 	
YMR172C-A 	4 	35 	
DDR48 	8 	39 	
YMR173W-A 	11 	46 	
PAI3 	7 	19 	
SIP18 	7 	285 	
YMR175W-A 	13 	176 	
ECM5 	73 	3611 	
MMT1 	27 	1076 	
YMR178W 	8 	300 	
SPT21 	26 	745 	
CTL1 	33 	1730 	
YMR181C 	9 	1048 	
RGM1 	6 	154 	
YMR182W-A 	5 	145 	
SSO2 	16 	465 	
ADD37 	15 	642 	
RTP1 	2 	1 	
HSC82 	10 	399 	
YMR187C 	31 	760 	
MRPS17 	10 	83 	
GCV2 	33 	1439 	
SGS1 	43 	1665 	
SPG5 	18 	718 	
GYL1 	30 	1276 	
MRPL24 	6 	43 	
YMR193C-A 	9 	267 	
RPL36A 	9 	304 	
CMC4 	23 	1089 	
YMR194C-A 	21 	1594 	
ICY1 	8 	345 	
YMR196W 	41 	1730 	
VTI1 	4 	51 	
CIK1 	20 	646 	
CLN1 	24 	1007 	
ROT1 	1 	0 	
RAD14 	26 	597 	
ERG2 	12 	208 	
TOM40 	0 	0 	
INP1 	9 	229 	
PFK2 	5 	126 	
YMR206W 	50 	3842 	
HFA1 	77 	4724 	
ERG12 	0 	0 	
YMR209C 	18 	519 	
YMR210W 	20 	794 	
DML1 	0 	0 	
EFR3 	9 	231 	
CEF1 	12 	368 	
SCJ1 	17 	902 	
GAS3 	12 	164 	
SKY1 	10 	145 	
GUA1 	0 	0 	
TRS130 	10 	282 	
ESC1 	48 	1533 	
ERG8 	2 	3 	
YMR221C 	27 	2333 	
FSH2 	8 	147 	
UBP8 	21 	1087 	
MRE11 	35 	965 	
MRPL44 	11 	249 	
YMR226C 	8 	115 	
TAF7 	5 	68 	
MTF1 	9 	39 	
RRP5 	5 	58 	
RPS10B 	7 	87 	
YMR230W-A 	11 	555 	
PEP5 	10 	187 	
FUS2 	20 	576 	
TRI1 	5 	122 	
RNH1 	6 	93 	
RNA1 	4 	6 	
TAF9 	2 	17 	
BCH1 	25 	737 	
DFG5 	25 	942 	
RNT1 	7 	30 	
CUS1 	35 	2448 	
YHM2 	22 	1534 	
RPL20A 	11 	175 	
YMR242W-A 	5 	59 	
ZRC1 	21 	664 	
YMR244W 	29 	2500 	
COA6 	3 	3 	
YMR245W 	27 	1304 	
FAA4 	74 	9288 	
RKR1 	32 	505 	
YMR247W-A 	2 	1 	
GAD1 	35 	2265 	
GTO3 	56 	4346 	
HOR7 	1 	0 	
YMR252C 	14 	217 	
YMR253C 	29 	1310 	
YMR254C 	13 	437 	
GFD1 	6 	63 	
COX7 	1 	0 	
PET111 	20 	558 	
ROY1 	18 	590 	
TRM732 	26 	309 	
TIF11 	1 	0 	
TPS3 	25 	613 	
YMR262W 	25 	989 	
SAP30 	5 	18 	
CUE1 	10 	167 	
YMR265C 	24 	782 	
RSN1 	40 	1161 	
PPA2 	10 	206 	
PRP24 	1 	0 	
TMA23 	4 	7 	
RRN9 	4 	20 	
URA10 	14 	426 	
SCS7 	13 	468 	
YMR272W-A 	1 	0 	
YMR272W-B 	3 	18 	
ZDS1 	28 	1196 	
RCE1 	11 	440 	
BUL1 	12 	196 	
DSK2 	12 	375 	
FCP1 	6 	135 	
PRM15 	16 	482 	
YMR279C 	10 	820 	
CAT8 	49 	3128 	
GPI12 	0 	0 	
AEP2 	20 	450 	
RIT1 	19 	816 	
YKU70 	20 	446 	
NGL2 	43 	3443 	
MRPL33 	3 	52 	
DSS1 	25 	399 	
HSH155 	10 	245 	
ABZ2 	8 	388 	
HAS1 	0 	0 	
YMR290W-A 	1 	0 	
TDA1 	14 	727 	
GOT1 	23 	747 	
HER2 	12 	105 	
JNM1 	11 	115 	
YMR294W-A 	4 	19 	
YMR295C 	8 	56 	
LCB1 	2 	1 	
PRC1 	37 	2085 	
LIP1 	0 	0 	
DYN3 	14 	237 	
ADE4 	1 	0 	
ATM1 	7 	69 	
YME2 	32 	1669 	
ADH2 	11 	220 	
UBP15 	33 	672 	
YMR304C-A 	8 	38 	
SCW10 	19 	998 	
FKS3 	61 	1386 	
YMR306C-A 	5 	5 	
GAS1 	10 	313 	
YMR307C-A 	1 	0 	
PSE1 	5 	69 	
NIP1 	3 	20 	
YMR310C 	10 	58 	
GLC8 	11 	462 	
ELP6 	9 	59 	
TGL3 	17 	1438 	
PRE5 	1 	0 	
YMR315W 	16 	906 	
YMR315W-A 	7 	178 	
DIA1 	15 	1120 	
YMR316C-A 	7 	403 	
YMR316C-B 	3 	4 	
YMR317W 	20 	404 	
ADH6 	14 	619 	
FET4 	21 	710 	
YMR320W 	9 	363 	
YMR321C 	0 	0 	
SNO4 	2 	2 	
ERR3 	7 	8 	
YMR324C 	2 	2 	
PAU19 	0 	0 	
YMR326C 	3 	25 	
YRF1-6 	0 	0 	
YNL339W-B 	0 	0 	
YNL339W-A 	0 	0 	
YNL338W 	1 	0 	
YNL337W 	4 	12 	
COS1 	3 	70 	
DDI3 	1 	0 	
SNO2 	1 	0 	
SNZ2 	4 	138 	
THI12 	9 	240 	
AAD14 	15 	514 	
RPD3 	9 	248 	
PEX6 	36 	1481 	
MDJ2 	6 	430 	
EGT2 	25 	1095 	
PFA3 	31 	1207 	
FIG4 	30 	943 	
YNL324W 	7 	140 	
LEM3 	23 	782 	
KRE1 	12 	388 	
VNX1 	26 	1948 	
YNL320W 	17 	561 	
YNL319W 	10 	85 	
HXT14 	27 	920 	
PFS2 	4 	172 	
PHA2 	14 	551 	
ATP11 	8 	78 	
DAL82 	21 	842 	
EMW1 	3 	75 	
RFA2 	4 	27 	
SKP2 	23 	731 	
ZIM17 	6 	18 	
STB1 	43 	1834 	
KRI1 	4 	7 	
MCK1 	18 	263 	
MRPS18 	8 	35 	
BXI1 	12 	463 	
YPT11 	31 	2357 	
YNL303W 	8 	124 	
RPS19B 	1 	0 	
RPL18B 	19 	530 	
TOS6 	7 	163 	
TRF5 	26 	864 	
CLA4 	16 	62 	
MON2 	4 	51 	
YNL296W 	1 	0 	
YNL295W 	14 	469 	
RIM21 	33 	1445 	
MSB3 	38 	1694 	
PUS4 	22 	1513 	
MID1 	20 	369 	
RFC3 	0 	0 	
PCL1 	11 	360 	
CAF40 	18 	863 	
SEC21 	1 	0 	
CUS2 	23 	608 	
YNL285W 	22 	1308 	
