Gene name	Number of transposons per gene	Number of reads per gene
TAF3	37	1124
RRP12	35	681
SWI1	40	1003
ULP1	18	292
ERG10	5	24
NOP4	43	995
TIM50	15	662
GCR1	39	711
GPI2	8	257
MOT1	64	2297
SEN54	12	66
SEC16	38	1640
NOG1	35	1098
SEC62	22	726
IDI1	18	548
TFB2	15	163
SPC29	6	43
NAN1	22	487
TBF1	11	140
RPL5	8	28
GIP3	82	3352
YPL142C	1	0
RPL33A	7	24
NOP53	11	140
PRP46	28	792
RAD53	37	1186
CDC60	30	658
MEX67	11	388
SPT14	34	850
NAB3	20	427
TPK2	30	688
HRR25	25	384
TYW1	35	786
IPL1	7	32
SRP72	16	250
NIP7	7	164
BMS1	29	554
SAR1	10	55
CET1	11	92
FAS2	46	1360
NSL1	10	209
RVB2	25	516
SUI3	2	1
YPL238C	0	0
IQG1	41	948
SRP68	6	111
YPL251W	3	18
YAH1	3	30
BBP1	13	178
DIM1	14	212
RPA135	34	666
TIF6	2	23
MCM4	38	977
CCL1	9	255
HTS1	11	233
ARP7	17	572
GLN1	20	427
TIP41	33	732
TIF5	15	216
TAH18	13	96
SEC8	29	580
TFB4	16	299
DIB1	9	366
ASA1	6	13
SUA7	12	295
SRP54	19	632
RDS3	5	26
PRE2	16	265
FHL1	31	610
COG4	28	499
YTH1	13	338
RPN7	8	29
RPC40	13	534
DBF20	38	2285
MRD1	23	604
PIS1	7	161
CLB5	26	368
CTR1	30	731
YLH47	33	1346
SPN1	17	237
YPR136C	2	4
RRP9	8	79
YPR142C	25	1239
RRP15	10	97
NOC4	25	431
SGV1	33	676
ORC4	11	245
RHO1	1	0
NUT2	13	341
JIP5	23	521
DPB2	23	631
BET2	9	126
YPR177C	11	385
PRP4	38	1236
AOS1	4	5
SEC23	27	536
SMX3	0	0
DPM1	11	213
PZF1	7	54
RPO26	13	121
RPC82	16	251
