Gene name	Number of transposons per gene	Number of reads per gene
PFS2	19	339
RPC34	21	448
PRP2	60	1419
ACC1	92	1866
TIM23	11	140
SEC12	30	1190
ARC35	14	312
DBP6	26	455
MVD1	9	83
TRM112	1	0
NOG2	14	145
ESF2	15	345
RPB11	2	2
RCL1	19	433
DIS3	41	918
TSR4	6	86
MIM1	9	110
SMC5	47	924
PRE6	5	88
RPS15	8	79
RIB2	25	651
NUF2	22	397
BRX1	19	476
AVO1	55	1196
RFC4	12	133
WRS1	20	265
TPT1	4	34
RPL18A	14	185
HRP1	13	79
RPL25	0	0
ALR1	42	1782
HRT1	10	252
YOL134C	18	517
MED7	9	206
CDC33	1	0
NOP8	20	383
PSF3	9	118
DCP1	2	1
UTP23	22	290
HSP10	0	0
DBP5	19	195
RAT1	18	320
NOB1	30	711
SGT1	17	225
SLD7	20	340
RPL3	10	158
CDC21	19	499
UFE1	10	367
RTS2	19	510
RKI1	4	30
NUP1	21	261
YOR102W	6	16
OST2	1	0
VAM3	9	87
TFC7	12	40
RPO31	45	1183
RPT5	13	339
RIO1	16	215
PFY1	4	10
THI80	14	266
YOR146W	1	0
SPP2	4	67
SMP3	13	107
RPB2	35	962
PDR5	90	3263
PUP1	12	268
SME1	5	123
MTR10	25	180
GLN4	18	247
YOR169C	1	0
MED4	16	279
HEM15	25	901
LAS17	21	238
TOA1	1	0
YOR203W	25	599
DED1	11	180
NOC2	29	445
RET1	34	536
RPB10	2	8
RFC1	50	1056
YOR218C	8	46
RPB8	6	86
WTM2	61	3500
MGE1	10	145
KIN4	46	1377
DFR1	16	349
ESA1	13	313
APC5	13	147
CLP1	12	308
SEC63	18	152
TRE2	24	379
CDC31	0	0
RPT4	15	278
GCD1	21	253
RPN8	11	132
GPN2	9	57
FSF1	20	490
YTM1	9	156
HEM4	11	114
PLP2	17	392
YOR282W	12	694
RRP36	7	33
RRS1	7	32
NOP58	15	196
HSH49	2	1
MYO2	59	1244
SCD5	26	345
ALA1	33	663
KRE5	47	1292
RPA43	9	172
RPA190	27	748
SOG2	62	1696
PRT1	37	1144
PRE10	5	8
MRS6	22	472
NDD1	12	199
NUD1	31	1061
TFC8	12	92
RET3	9	111
TAF3	36	1061
RRP12	36	680
SWI1	36	563
ULP1	21	353
ERG10	6	19
NOP4	29	1202
TIM50	23	594
GCR1	36	279
GPI2	12	68
MOT1	62	1672
SEN54	8	317
SEC16	51	1055
NOG1	34	1063
SEC62	25	348
IDI1	15	504
TFB2	14	294
SPC29	9	72
NAN1	24	164
TBF1	7	55
RPL5	7	47
